pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
438.520000,158.390000,414.780000,195.710000,497.160000,315.090000,367.050000,370.190000,363.970000,457.380000
441.040000,157.940000,416.710000,194.990000,497.350000,315.660000,367.120000,370.310000,363.230000,457.940000
443.550000,157.560000,418.630000,194.330000,497.800000,316.240000,367.170000,370.470000,363.110000,457.960000
445.800000,157.100000,420.520000,193.780000,498.000000,316.940000,367.220000,370.930000,363.030000,458.000000
448.110000,156.760000,422.240000,192.960000,498.160000,317.490000,367.250000,371.000000,362.980000,458.060000
450.370000,156.270000,424.220000,192.350000,498.310000,317.760000,367.270000,371.070000,362.910000,458.140000
452.750000,155.850000,426.200000,191.970000,498.430000,317.990000,367.310000,371.120000,362.810000,458.130000
455.140000,155.420000,428.040000,191.350000,498.800000,318.240000,367.350000,371.180000,362.710000,458.120000
457.640000,155.040000,429.940000,190.680000,498.910000,318.430000,367.520000,371.200000,362.590000,458.130000
459.920000,154.760000,431.880000,189.920000,499.050000,318.960000,367.830000,371.200000,361.950000,458.240000
462.150000,154.270000,433.700000,189.320000,499.150000,319.100000,367.830000,371.200000,361.220000,458.320000
464.400000,153.920000,435.680000,188.740000,499.250000,319.260000,367.830000,371.200000,361.110000,458.320000
466.810000,153.610000,437.480000,187.950000,499.360000,319.360000,367.880000,371.240000,361.090000,458.370000
469.020000,153.070000,439.100000,187.240000,499.470000,319.460000,367.920000,371.270000,361.050000,458.450000
471.200000,152.750000,441.040000,186.600000,499.790000,319.920000,367.900000,371.320000,360.860000,458.880000
473.440000,152.090000,442.970000,185.870000,499.810000,319.990000,367.920000,371.270000,360.870000,458.880000
475.840000,151.490000,444.810000,185.070000,499.810000,319.990000,367.920000,371.270000,360.740000,458.860000
478.010000,151.170000,446.670000,184.470000,499.890000,320.000000,368.060000,371.340000,360.610000,458.800000
480.170000,150.820000,448.370000,183.880000,499.900000,320.000000,368.060000,371.340000,360.000000,458.870000
482.200000,150.140000,450.020000,183.080000,499.900000,320.000000,368.050000,371.330000,359.320000,458.910000
484.400000,149.840000,451.930000,182.340000,499.890000,319.910000,368.090000,371.260000,359.300000,458.900000
486.640000,149.130000,453.740000,181.720000,499.890000,319.850000,368.100000,371.230000,359.220000,458.880000
488.770000,148.490000,455.570000,180.950000,499.880000,319.720000,368.090000,371.220000,359.150000,458.850000
490.790000,148.030000,457.120000,180.190000,499.830000,319.600000,368.070000,371.200000,359.110000,458.810000
492.870000,147.630000,458.900000,179.480000,499.610000,319.080000,368.070000,371.190000,359.070000,458.780000
494.870000,146.940000,460.670000,178.770000,499.250000,318.940000,368.060000,371.160000,359.020000,458.730000
496.910000,146.240000,462.120000,178.010000,499.170000,318.740000,368.040000,371.080000,358.950000,458.720000
498.850000,145.800000,463.930000,177.210000,499.090000,318.500000,368.040000,371.040000,358.870000,458.700000
500.870000,145.040000,465.620000,176.290000,498.910000,317.960000,367.910000,370.990000,358.850000,458.670000
502.890000,144.310000,467.120000,175.570000,498.670000,317.350000,367.850000,371.040000,358.840000,458.640000
504.820000,143.850000,468.820000,174.820000,498.210000,317.040000,367.830000,371.000000,358.800000,458.630000
506.820000,143.070000,470.320000,173.940000,498.030000,316.830000,367.740000,370.990000,358.760000,458.570000
508.800000,142.410000,472.120000,172.950000,497.660000,316.350000,367.600000,370.960000,358.650000,458.440000
510.580000,141.850000,473.720000,172.160000,497.200000,315.750000,367.340000,370.960000,358.720000,458.000000
512.410000,141.080000,475.210000,171.310000,496.920000,315.000000,367.300000,370.940000,358.690000,457.970000
514.290000,140.380000,476.890000,170.380000,496.580000,314.210000,367.090000,370.940000,358.650000,457.880000
516.210000,139.840000,478.450000,169.630000,496.060000,313.600000,366.960000,370.930000,358.630000,457.870000
518.020000,139.020000,479.930000,168.770000,495.770000,313.090000,366.820000,370.930000,358.610000,457.880000
520.000000,138.270000,481.340000,167.850000,495.140000,312.580000,366.820000,370.930000,358.620000,457.840000
521.780000,137.730000,482.950000,166.960000,494.780000,311.820000,366.530000,370.920000,358.590000,457.810000
523.590000,137.020000,484.460000,165.980000,494.150000,310.910000,366.310000,370.910000,358.570000,457.760000
525.150000,136.250000,485.910000,165.160000,493.780000,310.090000,366.060000,370.900000,358.540000,457.770000
526.940000,135.680000,487.350000,164.160000,493.120000,309.210000,365.980000,370.900000,358.510000,457.760000
528.700000,135.080000,488.900000,163.240000,492.690000,308.290000,365.800000,370.900000,358.050000,457.810000
530.180000,134.350000,490.330000,162.420000,492.070000,307.480000,365.600000,370.890000,358.060000,457.800000
531.830000,133.810000,491.670000,161.510000,491.500000,306.780000,365.250000,370.900000,358.060000,457.790000
533.270000,133.140000,493.010000,160.660000,491.070000,305.940000,365.100000,370.900000,358.060000,457.770000
535.090000,132.570000,494.280000,159.700000,490.510000,304.910000,364.920000,370.920000,358.030000,457.730000
536.590000,131.970000,495.540000,158.930000,489.930000,303.980000,364.730000,370.930000,358.020000,457.680000
538.050000,131.400000,496.840000,158.050000,489.310000,303.060000,364.470000,370.940000,358.020000,457.690000
539.380000,130.750000,497.970000,157.040000,488.750000,302.070000,364.110000,370.950000,358.020000,457.690000
540.880000,130.160000,499.110000,156.190000,487.940000,301.050000,363.830000,370.970000,358.040000,457.720000
542.070000,129.750000,500.210000,155.430000,487.320000,300.050000,363.830000,370.970000,358.060000,457.730000
543.260000,129.190000,501.380000,154.630000,486.940000,299.010000,363.530000,371.030000,358.070000,457.730000
544.470000,128.780000,502.370000,153.870000,486.270000,297.940000,363.040000,371.100000,358.070000,457.730000
545.870000,128.160000,503.210000,152.990000,485.730000,296.940000,363.000000,371.100000,358.150000,457.730000
546.990000,127.760000,504.200000,152.200000,484.990000,295.950000,362.730000,371.130000,358.170000,457.720000
548.040000,127.200000,505.160000,151.240000,484.170000,294.790000,362.230000,371.170000,358.200000,457.700000
549.050000,126.740000,505.990000,150.480000,483.580000,293.820000,362.050000,371.190000,358.200000,457.720000
550.050000,126.170000,506.720000,149.670000,482.980000,292.650000,361.880000,371.210000,358.200000,457.740000
551.060000,125.800000,507.460000,148.950000,482.140000,291.620000,361.650000,371.210000,358.210000,457.740000
