pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
360.7,360.85,332.11,213.21,188.98,217.81,149.6,190.99,394.717835,452.448191
360.57,360.93,333.19,213.11,190.12,218.6,150.6,192.04,394.717835,452.448191
360.24,360.99,334.2,213.03,191.11,219.3,151.59,193.05,395.116798,452.255319
360.14,361.06,335.26,212.94,192.26,220.19,152.81,194.15,392.85056,453.233489
360.03,361.12,336.25,212.77,193.48,221.11,153.84,195.05,392.85056,453.233489
359.84,361.12,337.27,212.74,194.78,221.92,155.06,196.07,392.85056,453.233489
359.63,361.12,338.35,212.56,196.08,222.72,156.2,196.97,392.85056,453.233489
359.42,361.09,339.54,212.23,197.27,223.47,157.42,197.91,392.670186,453.157955
359.42,361.08,340.78,212.13,198.54,224.13,158.65,198.69,392.129063,453.309024
359.21,361.08,341.81,212.04,199.9,224.93,159.91,199.45,392.129063,453.309024
359.02,361.08,342.98,211.97,201.28,225.73,161.19,200.2,391.407566,453.611164
359.02,361.08,343.98,211.97,202.68,226.47,162.47,201.02,391.317379,453.988838
358.94,361.2,345.34,211.87,203.92,227.13,163.85,201.89,390.866444,454.215443
358.74,361.19,346.78,211.88,205.25,227.88,165.33,202.68,390.866444,454.215443
358.74,361.19,347.96,211.7,206.77,228.49,166.69,203.26,390.235134,454.215443
358.59,361.15,349.11,211.66,208.02,229.12,168.1,203.97,390.235134,454.215443
358.39,361.16,350.39,211.63,209.42,229.75,169.6,204.64,389.784199,454.517583
358.32,361.15,351.81,211.59,210.97,230.13,171.01,205.1,389.694012,454.517583
358.25,361.15,353.01,211.54,212.38,230.94,172.55,205.91,389.42345,454.517583
358.17,361.08,354.18,211.24,213.89,231.37,174.08,206.35,389.243076,454.517583
358.09,361.02,355.54,211.21,215.32,232.04,175.58,206.9,388.882328,454.593117
358.01,360.97,356.94,211.18,216.89,232.62,177.1,207.35,388.431392,454.970792
357.92,360.91,358.12,211.18,218.33,233.05,178.66,207.92,387.800083,455.197397
357.92,360.85,359.46,211.17,219.91,233.61,180.11,208.25,387.800083,455.197397
357.91,360.8,360.98,211.17,221.32,234.01,181.83,208.79,387.529522,455.197397
357.92,360.69,362.38,211.16,222.93,234.32,183.34,209.1,387.168773,455.197397
357.88,360.62,363.92,211.15,224.6,234.88,185.05,209.33,386.898212,455.197397
357.83,360.46,365.24,211.21,226.13,235.17,186.75,209.97,386.898212,455.197397
357.83,360.29,366.76,211.19,227.7,235.68,188.37,210.28,386.537464,455.197397
357.79,360.13,368.06,211.25,229.1,236.04,190.06,210.55,386.357089,455.197397
357.76,359.97,369.46,211.24,230.82,236.34,191.72,210.77,386.086528,455.197397
357.76,359.97,371.04,211.35,232.17,236.81,193.43,211.06,386.086528,455.197397
357.61,359.91,372.71,211.6,233.99,237.12,195.04,211.13,385.365031,455.197397
357.41,359.81,374.03,211.79,235.7,237.33,196.83,211.38,384.914096,455.272931
357.36,359.56,375.42,211.96,237.07,237.74,198.62,211.65,384.282786,455.272931
357.37,359.37,377.03,211.96,238.82,237.95,200.29,211.77,384.282786,455.272931
357.37,359.16,378.71,212.04,240.4,238.19,202.04,211.94,383.922038,455.272931
357.39,359.1,380,212.22,241.98,238.43,203.83,211.93,383.741664,455.272931
357.38,358.93,381.39,212.37,243.76,238.76,205.61,211.94,382.29867,455.272931
357.37,358.72,383,212.86,245.27,238.88,207.35,211.99,382.118296,455.272931
