pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
920.820000,346.930000,824.970000,248.070000,699.340000,209.160000,667.050000,176.350000
920.830000,347.020000,824.900000,247.940000,698.440000,211.330000,665.600000,179.360000
920.840000,347.300000,824.870000,247.860000,697.880000,213.690000,664.050000,182.410000
920.830000,347.790000,824.850000,247.760000,697.060000,216.180000,662.830000,185.640000
920.890000,347.950000,824.790000,247.710000,697.469959,218.420344,661.580000,188.840000
920.940000,348.090000,824.710000,247.660000,697.020000,220.960000,660.290000,191.860000
920.920000,348.270000,824.710000,247.540000,696.250000,223.050000,659.320000,195.210000
920.910000,348.480000,824.760000,247.140000,695.540000,225.150000,658.300000,198.390000
920.910000,348.940000,824.680000,247.140000,694.820000,227.310000,657.570000,201.590000
920.920000,349.220000,824.670000,247.150000,694.070000,229.460000,656.730000,204.810000
920.910000,349.630000,824.620000,247.010000,693.440000,232.190000,655.990000,208.040000
920.910000,349.830000,824.500000,246.970000,693.350000,235.080000,655.370000,211.320000
920.900000,350.000000,824.110000,246.960000,693.280000,237.970000,654.950000,214.650000
920.860000,350.230000,824.100000,246.940000,693.300000,240.820000,654.440000,217.910000
920.800000,350.520000,824.090000,246.870000,693.250000,243.630000,654.180000,221.300000
920.730000,350.950000,824.080000,246.880000,693.250000,245.840000,653.880000,224.580000
920.710000,351.120000,824.110000,246.820000,693.190000,248.060000,653.650000,227.880000
920.690000,351.300000,824.110000,246.840000,693.200000,250.210000,653.520000,231.340000
920.580000,351.450000,824.090000,246.750000,693.240000,252.420000,653.470000,234.600000
920.260000,351.800000,824.060000,246.670000,693.480000,255.220000,653.450000,238.100000
920.170000,352.070000,824.060000,246.640000,694.230000,258.100000,653.420000,241.450000
920.080000,352.360000,824.050000,246.620000,695.070000,261.000000,653.670000,245.100000
920.040000,352.640000,824.090000,246.570000,695.990000,263.830000,654.000000,248.610000
920.010000,352.740000,824.140000,246.510000,696.869144,266.491161,654.220000,252.090000
919.930000,352.850000,824.230000,246.210000,698.000000,268.850000,654.700000,255.710000
919.850000,352.950000,824.230000,246.210000,698.850000,271.050000,655.100000,259.160000
919.810000,353.220000,824.400000,246.010000,699.700000,273.270000,655.760000,262.550000
919.810000,353.220000,824.680000,245.990000,700.660000,275.450000,656.210000,266.180000
919.670000,353.310000,824.780000,245.880000,701.740000,278.160000,657.020000,269.590000
919.320000,353.540000,824.880000,245.770000,702.870000,280.890000,657.940000,273.070000
919.160000,353.710000,824.970000,245.640000,703.930000,283.290000,658.790000,276.400000
919.040000,353.860000,825.130000,245.590000,704.910000,285.640000,659.780000,279.870000
918.980000,353.910000,825.320000,245.530000,705.950000,287.760000,660.800000,283.100000
918.720000,353.910000,825.820000,245.130000,706.960000,289.890000,661.940000,286.460000
918.580000,353.920000,825.950000,245.060000,708.060000,292.000000,663.020000,289.660000
918.260000,353.960000,826.100000,244.930000,709.150000,294.040000,664.280000,292.830000
918.150000,354.000000,826.300000,244.760000,710.250000,296.090000,665.740000,296.000000
917.960000,354.050000,826.480000,244.660000,711.390000,298.100000,667.100000,299.060000
917.770000,354.110000,826.970000,244.440000,713.200000,300.150000,668.540000,302.150000
917.560000,354.100000,827.210000,244.050000,715.070000,302.200000,670.070000,305.210000
917.160000,354.100000,827.490000,243.920000,716.950000,304.200000,671.770000,308.110000
916.970000,354.110000,828.020000,243.660000,718.830000,306.150000,673.280000,310.870000
916.780000,354.100000,828.230000,243.150000,720.750000,308.120000,675.070000,313.610000
