4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.0147,84.73624,81.0171,147.3,150.1396,40.40604,152.9591,127.703,108.5843,136.5899,155.4019
0.0148,84.7324,81.01316,147.2143,150.1759,40.37343,152.9187,127.68,108.5032,136.5925,155.4415
0.0149,84.72857,81.0092,147.1285,150.2122,40.34102,152.8782,127.657,108.4223,136.5951,155.4805
0.015,84.72473,81.00523,147.0427,150.2483,40.30879,152.8376,127.634,108.3416,136.5977,155.5189
0.0151,84.7209,81.00123,146.9568,150.2844,40.27676,152.7967,127.611,108.2611,136.6003,155.5567
0.0152,84.71707,80.99722,146.8709,150.3204,40.24492,152.7558,127.5881,108.1807,136.6028,155.5938
0.0153,84.71323,80.9932,146.7849,150.3563,40.21327,152.7147,127.5652,108.1006,136.6054,155.6302
0.0154,84.7094,80.98915,146.6988,150.3921,40.18182,152.6735,127.5422,108.0207,136.6079,155.666
0.0155,84.70556,80.98509,146.6127,150.4279,40.15056,152.6321,127.5193,107.941,136.6104,155.7012
0.0156,84.70173,80.98102,146.5266,150.4635,40.11949,152.5906,127.4964,107.8615,136.6129,155.7357
0.0157,84.6979,80.97692,146.4404,150.4991,40.08862,152.549,127.4735,107.7823,136.6153,155.7696
0.0158,84.69407,80.97281,146.3541,150.5346,40.05794,152.5072,127.4507,107.7032,136.6178,155.8029
0.0159,84.69024,80.96868,146.2678,150.57,40.02746,152.4653,127.4278,107.6244,136.6202,155.8355
0.016,84.68642,80.96453,146.1815,150.6053,39.99717,152.4232,127.405,107.5457,136.6226,155.8675
0.0161,84.6826,80.96037,146.095,150.6405,39.96708,152.381,127.3822,107.4673,136.625,155.8988
0.0162,84.67878,80.95619,146.0086,150.6757,39.93718,152.3387,127.3594,107.3892,136.6273,155.9295
0.0163,84.67496,80.952,145.9221,150.7107,39.90748,152.2963,127.3366,107.3112,136.6296,155.9596
0.0164,84.67115,80.94778,145.8355,150.7457,39.87798,152.2537,127.3138,107.2335,136.632,155.9891
0.0165,84.66734,80.94355,145.7489,150.7806,39.84868,152.211,127.291,107.156,136.6342,156.0179
0.0166,84.66353,80.9393,145.6622,150.8154,39.81957,152.1682,127.2683,107.0787,136.6365,156.0461
0.0167,84.65973,80.93504,145.5755,150.8502,39.79066,152.1252,127.2455,107.0017,136.6388,156.0736
0.0168,84.65594,80.93076,145.4887,150.8848,39.76194,152.0821,127.2228,106.9249,136.641,156.1006
0.0169,84.65215,80.92646,145.4019,150.9194,39.73343,152.0389,127.2001,106.8484,136.6432,156.1269
0.017,84.64836,80.92215,145.315,150.9539,39.70512,151.9956,127.1774,106.7721,136.6454,156.1526
0.0171,84.64458,80.91782,145.2281,150.9884,39.677,151.9522,127.1548,106.696,136.6476,156.1777
0.0172,84.64081,80.91347,145.1411,151.0227,39.64909,151.9086,127.1321,106.6202,136.6497,156.2021
0.0173,84.63704,80.90911,145.0541,151.057,39.62137,151.865,127.1095,106.5446,136.6518,156.226
0.0174,84.63328,80.90473,144.967,151.0912,39.59386,151.8212,127.0869,106.4693,136.6539,156.2492
0.0175,84.62953,80.90034,144.8799,151.1253,39.56654,151.7773,127.0643,106.3942,136.656,156.2718
0.0176,84.62578,80.89592,144.7928,151.1593,39.53943,151.7333,127.0417,106.3193,136.6581,156.2938
0.0177,84.62204,80.8915,144.7056,151.1933,39.51252,151.6891,127.0191,106.2447,136.6601,156.3152
