 HAT_out.csv    
 
  raw, data,
 0.3010,     0.38,
 0.3020,     0.38,
 0.3030,     0.38,
 0.3040,     0.38,
 0.3050,     0.38,
 0.3060,     0.38,
 0.3070,     0.38,
 0.3080,     0.38,
 0.3090,     0.38,
 0.3100,     0.38,
 0.3110,     0.38,
 0.3120,     0.37,
 0.3130,     0.37,
 0.3140,     0.37,
 0.3150,     0.37,
 0.3160,     0.37,
 0.3170,     0.37,
 0.3180,     0.37,
 0.3190,     0.37,
 0.3200,     0.37,
 0.3210,     0.37,
 0.3220,     0.37,
 0.3230,     0.37,
 0.3240,     0.37,
 0.3250,     0.37,
 0.3260,     0.37,
 0.3270,     0.37,
 0.3280,     0.37,
 0.3290,     0.37,
 0.3300,     0.37,
 0.3310,     0.37,
 0.3320,     0.37,
 0.3330,     0.37,
 0.3340,     0.37,
 0.3350,     0.37,
 0.3360,     0.37,
 0.3370,     0.37,
 0.3380,     0.37,
 0.3390,     0.37,
 0.3400,     0.37,
 0.3410,     0.37,
 0.3420,     0.37,
 0.3430,     0.37,
 0.3440,     0.37,
 0.3450,     0.37,
 0.3460,     0.37,
 0.3470,     0.37,
 0.3480,     0.37,
 0.3490,     0.37,
 0.3500,     0.37,
 0.3510,     0.37,
 0.3520,     0.37,
 0.3530,     0.37,
 0.3540,     0.37,
 0.3550,     0.37,
 0.3560,     0.37,
 0.3570,     0.37,
 0.3580,     0.37,
 0.3590,     0.37,
 0.3600,     0.37,
 0.3610,     0.37,
 0.3620,     0.37,
 0.3630,     0.37,
 0.3640,     0.37,
 0.3650,     0.37,
 0.3660,     0.37,
 0.3670,     0.37,
 0.3680,     0.37,
 0.3690,     0.37,
 0.3700,     0.37,
 0.3710,     0.37,
 0.3720,     0.37,
 0.3730,     0.37,
 0.3740,     0.37,
 0.3750,     0.37,
 0.3760,     0.37,
 0.3770,     0.37,
 0.3780,     0.37,
 0.3790,     0.37,
 0.3800,     0.37,
 0.3810,     0.37,
 0.3820,     0.37,
 0.3830,     0.37,
 0.3840,     0.37,
 0.3850,     0.37,
 0.3860,     0.37,
 0.3870,     0.37,
 0.3880,     0.37,
 0.3890,     0.37,
 0.3900,     0.37,
 0.3910,     0.37,
 0.3920,     0.38,
 0.3930,     0.38,
 0.3940,     0.38,
 0.3950,     0.38,
 0.3960,     0.38,
 0.3970,     0.38,
 0.3980,     0.38,
 0.3990,     0.38,
 0.4000,     0.38,
 0.4010,     0.38,
 0.4020,     0.38,
 0.4030,     0.38,
 0.4040,     0.38,
 0.4050,     0.38,
 0.4060,     0.38,
 0.4070,     0.38,
 0.4080,     0.38,
 0.4090,     0.38,
 0.4100,     0.38,
 0.4110,     0.38,
 0.4120,     0.38,
 0.4130,     0.38,
 0.4140,     0.38,
 0.4150,     0.38,
 0.4160,     0.38,
 0.4170,     0.38,
 0.4180,     0.38,
 0.4190,     0.38,
 0.4200,     0.38,
 0.4210,     0.38,
 0.4220,     0.38,
 0.4230,     0.38,
 0.4240,     0.38,
 0.4250,     0.38,
 0.4260,     0.37,
 0.4270,     0.37,
 0.4280,     0.37,
 0.4290,     0.37,
 0.4300,     0.37,
 0.4310,     0.37,
 0.4320,     0.37,
 0.4330,     0.37,
 0.4340,     0.37,
 0.4350,     0.37,
 0.4360,     0.37,
 0.4370,     0.37,
 0.4380,     0.37,
 0.4390,     0.37,
 0.4400,     0.37,
 0.4410,     0.37,
 0.4420,     0.37,
 0.4430,     0.37,
 0.4440,     0.37,
 0.4450,     0.37,
 0.4460,     0.37,
 0.4470,     0.37,
 0.4480,     0.37,
 0.4490,     0.37,
 0.4500,     0.37,
 0.4510,     0.37,
 0.4520,     0.37,
 0.4530,     0.37,
 0.4540,     0.37,
 0.4550,     0.37,
 0.4560,     0.37,
 0.4570,     0.37,
 0.4580,     0.37,
 0.4590,     0.37,
 0.4600,     0.36,
 0.4610,     0.36,
 0.4620,     0.36,
 0.4630,     0.36,
 0.4640,     0.36,
 0.4650,     0.36,
 0.4660,     0.36,
 0.4670,     0.36,
 0.4680,     0.36,
 0.4690,     0.36,
 0.4700,     0.36,
 0.4710,     0.36,
 0.4720,     0.36,
 0.4730,     0.36,
 0.4740,     0.36,
 0.4750,     0.36,
 0.4760,     0.36,
 0.4770,     0.36,
 0.4780,     0.36,
 0.4790,     0.36,
 0.4800,     0.36,
 0.4810,     0.36,
 0.4820,     0.36,
 0.4830,     0.36,
 0.4840,     0.36,
 
  splined, velocities,
 
 0.0000,    -0.09,
 0.0010,    -0.07,
 0.0020,    -0.05,
 0.0030,    -0.03,
 0.0040,    -0.02,
 0.0050,     0.00,
 0.0060,     0.02,
 0.0070,     0.04,
 0.0080,     0.06,
 0.0090,     0.07,
 0.0100,     0.09,
 0.0110,     0.11,
 0.0120,     0.13,
 0.0130,     0.15,
 0.0140,     0.17,
 0.0150,     0.18,
 0.0160,     0.20,
 0.0170,     0.22,
 0.0180,     0.24,
 0.0190,     0.25,
 0.0200,     0.27,
 0.0210,     0.29,
 0.0220,     0.30,
 0.0230,     0.32,
 0.0240,     0.34,
 0.0250,     0.35,
 0.0260,     0.36,
 0.0270,     0.38,
 0.0280,     0.39,
 0.0290,     0.40,
 0.0300,     0.41,
 0.0310,     0.42,
 0.0320,     0.43,
 0.0330,     0.44,
 0.0340,     0.44,
 0.0350,     0.45,
 0.0360,     0.45,
 0.0370,     0.46,
 0.0380,     0.46,
 0.0390,     0.46,
 0.0400,     0.46,
 0.0410,     0.46,
 0.0420,     0.45,
 0.0430,     0.45,
