 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  6.30000E-02   4.21518E+02   2.45310E+03   1.76673E+02   1.40612E+02   8.33140E+01   8.39437E+01   9.88061E-01   6.03492E-01
  6.40000E-02   3.90904E+02   2.36687E+03   1.77539E+02   1.40997E+02   8.34283E+01   8.43383E+01   9.88672E-01   6.15830E-01
  6.50000E-02   3.52255E+02   2.27279E+03   1.78412E+02   1.41410E+02   8.35445E+01   8.47843E+01   9.89296E-01   6.27431E-01
  6.60000E-02   3.19947E+02   2.18647E+03   1.79293E+02   1.41851E+02   8.36623E+01   8.52825E+01   9.89930E-01   6.38277E-01
  6.70000E-02   3.04783E+02   2.11751E+03   1.80180E+02   1.42320E+02   8.37815E+01   8.58340E+01   9.90575E-01   6.48346E-01
  6.80000E-02   3.11933E+02   2.06625E+03   1.81072E+02   1.42814E+02   8.39016E+01   8.64393E+01   9.91230E-01   6.57617E-01
  6.90000E-02   3.40761E+02   2.02440E+03   1.81967E+02   1.43334E+02   8.40226E+01   8.70990E+01   9.91894E-01   6.66070E-01
  7.00000E-02   3.86265E+02   1.97914E+03   1.82866E+02   1.43879E+02   8.41440E+01   8.78132E+01   9.92565E-01   6.73686E-01
  7.10000E-02   4.41330E+02   1.91876E+03   1.83766E+02   1.44446E+02   8.42655E+01   8.85821E+01   9.93244E-01   6.80447E-01
  7.20000E-02   4.98899E+02   1.83740E+03   1.84666E+02   1.45034E+02   8.43869E+01   8.94053E+01   9.93929E-01   6.86341E-01
  7.30000E-02   5.53381E+02   1.73703E+03   1.85566E+02   1.45642E+02   8.45079E+01   9.02825E+01   9.94620E-01   6.91355E-01
  7.40000E-02   6.01064E+02   1.62592E+03   1.86463E+02   1.46268E+02   8.46282E+01   9.12128E+01   9.95315E-01   6.95483E-01
  7.50000E-02   6.39751E+02   1.51455E+03   1.87357E+02   1.46910E+02   8.47474E+01   9.21953E+01   9.96014E-01   6.98724E-01
  7.60000E-02   6.68093E+02   1.41079E+03   1.88245E+02   1.47566E+02   8.48652E+01   9.32288E+01   9.96716E-01   7.01078E-01
  7.70000E-02   6.85150E+02   1.31684E+03   1.89128E+02   1.48233E+02   8.49814E+01   9.43118E+01   9.97419E-01   7.02555E-01
  7.80000E-02   6.90373E+02   1.22907E+03   1.90003E+02   1.48910E+02   8.50956E+01   9.54424E+01   9.98124E-01   7.03166E-01
  7.90000E-02   6.84197E+02   1.14061E+03   1.90869E+02   1.49594E+02   8.52075E+01   9.66187E+01   9.98828E-01   7.02927E-01
  8.00000E-02   6.67893E+02   1.04534E+03   1.91724E+02   1.50283E+02   8.53168E+01   9.78383E+01   9.99532E-01   7.01862E-01
  8.10000E-02   6.46017E+02   9.41624E+02   1.92568E+02   1.50973E+02   8.54232E+01   9.90987E+01   1.00023E+00   6.99996E-01
  8.20000E-02   6.17708E+02   8.33039E+02   1.93399E+02   1.51663E+02   8.55264E+01   1.00397E+02   1.00093E+00   6.97363E-01
  8.30000E-02   6.13111E+02   7.30786E+02   1.94215E+02   1.52350E+02   8.56263E+01   1.01730E+02   1.00163E+00   6.93997E-01
  8.40000E-02   4.83887E+02   6.28564E+02   1.95015E+02   1.53031E+02   8.57225E+01   1.03095E+02   1.00232E+00   6.89940E-01
  8.50000E-02   4.10164E+02   5.44572E+02   1.95799E+02   1.53704E+02   8.58147E+01   1.04488E+02   1.00301E+00   6.85235E-01
  8.60000E-02   4.11208E+02   5.07832E+02   1.96564E+02   1.54365E+02   8.59029E+01   1.05905E+02   1.00370E+00   6.79928E-01
  8.70000E-02   4.10125E+02   4.81960E+02   1.97310E+02   1.55013E+02   8.59868E+01   1.07342E+02   1.00437E+00   6.74068E-01
  8.80000E-02   4.09674E+02   4.63424E+02   1.98036E+02   1.55645E+02   8.60662E+01   1.08796E+02   1.00504E+00   6.67704E-01
  8.90000E-02   4.08571E+02   4.46491E+02   1.98740E+02   1.56259E+02   8.61411E+01   1.10261E+02   1.00571E+00   6.60887E-01
  9.00000E-02   4.05268E+02   4.26897E+02   1.99423E+02   1.56852E+02   8.62112E+01   1.11734E+02   1.00636E+00   6.53668E-01
  9.10000E-02   3.98280E+02   4.03279E+02   2.00083E+02   1.57422E+02   8.62767E+01   1.13210E+02   1.00701E+00   6.46097E-01
  9.20000E-02   3.86298E+02   3.77128E+02   2.00720E+02   1.57968E+02   8.63373E+01   1.14684E+02   1.00766E+00   6.38221E-01
  9.30000E-02   3.68349E+02   3.51556E+02   2.01333E+02   1.58486E+02   8.63930E+01   1.16151E+02   1.00829E+00   6.30087E-01
  9.40000E-02   3.43990E+02   3.29536E+02   2.01921E+02   1.58974E+02   8.64440E+01   1.17608E+02   1.00892E+00   6.21741E-01
