 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  5.50000E-02  -2.59462E+01   2.49359E+03   1.70156E+02   1.38592E+02   1.08242E+02   4.85755E+01   1.00769E+00   4.64262E-01
  5.60000E-02   3.60541E+00   2.48265E+03   1.70923E+02   1.38741E+02   1.08104E+02   4.92061E+01   1.00817E+00   4.81843E-01
  5.70000E-02   6.99547E+01   2.48269E+03   1.71705E+02   1.38920E+02   1.07967E+02   4.93990E+01   1.00866E+00   4.98693E-01
  5.80000E-02   1.61589E+02   2.49830E+03   1.72502E+02   1.39128E+02   1.07831E+02   4.91607E+01   1.00917E+00   5.14800E-01
  5.90000E-02   2.60348E+02   2.52377E+03   1.73313E+02   1.39366E+02   1.07695E+02   4.85003E+01   1.00969E+00   5.30152E-01
  6.00000E-02   3.46765E+02   2.54511E+03   1.74136E+02   1.39633E+02   1.07562E+02   4.74298E+01   1.01023E+00   5.44738E-01
  6.10000E-02   4.05604E+02   2.54620E+03   1.74971E+02   1.39930E+02   1.07430E+02   4.59646E+01   1.01078E+00   5.58549E-01
  6.20000E-02   4.29770E+02   2.51592E+03   1.75817E+02   1.40257E+02   1.07299E+02   4.41229E+01   1.01135E+00   5.71573E-01
  6.30000E-02   4.21518E+02   2.45310E+03   1.76673E+02   1.40612E+02   1.07171E+02   4.19262E+01   1.01193E+00   5.83803E-01
  6.40000E-02   3.90904E+02   2.36687E+03   1.77539E+02   1.40997E+02   1.07045E+02   3.93989E+01   1.01252E+00   5.95226E-01
  6.50000E-02   3.52255E+02   2.27279E+03   1.78412E+02   1.41410E+02   1.06921E+02   3.65674E+01   1.01312E+00   6.05835E-01
  6.60000E-02   3.19947E+02   2.18647E+03   1.79293E+02   1.41851E+02   1.06801E+02   3.34595E+01   1.01373E+00   6.15619E-01
  6.70000E-02   3.04783E+02   2.11751E+03   1.80180E+02   1.42320E+02   1.06683E+02   3.01025E+01   1.01436E+00   6.24568E-01
  6.80000E-02   3.11933E+02   2.06625E+03   1.81072E+02   1.42814E+02   1.06569E+02   2.65218E+01   1.01499E+00   6.32672E-01
  6.90000E-02   3.40761E+02   2.02440E+03   1.81967E+02   1.43334E+02   1.06459E+02   2.27395E+01   1.01562E+00   6.39923E-01
  7.00000E-02   3.86265E+02   1.97914E+03   1.82866E+02   1.43879E+02   1.06353E+02   1.87732E+01   1.01627E+00   6.46313E-01
  7.10000E-02   4.41330E+02   1.91876E+03   1.83766E+02   1.44446E+02   1.06252E+02   1.46362E+01   1.01692E+00   6.51835E-01
  7.20000E-02   4.98899E+02   1.83740E+03   1.84666E+02   1.45034E+02   1.06154E+02   1.03369E+01   1.01758E+00   6.56486E-01
  7.30000E-02   5.53381E+02   1.73703E+03   1.85566E+02   1.45642E+02   1.06062E+02   5.88024E+00   1.01824E+00   6.60266E-01
  7.40000E-02   6.01064E+02   1.62592E+03   1.86463E+02   1.46268E+02   1.05975E+02   1.26749E+00   1.01890E+00   6.63176E-01
  7.50000E-02   6.39751E+02   1.51455E+03   1.87357E+02   1.46910E+02   1.05892E+02  -3.50204E+00   1.01956E+00   6.65223E-01
  7.60000E-02   6.68093E+02   1.41079E+03   1.88245E+02   1.47566E+02   1.05815E+02  -8.42995E+00   1.02023E+00   6.66416E-01
  7.70000E-02   6.85150E+02   1.31684E+03   1.89128E+02   1.48233E+02   1.05743E+02  -1.35172E+01   1.02090E+00   6.66769E-01
  7.80000E-02   6.90373E+02   1.22907E+03   1.90003E+02   1.48910E+02   1.05676E+02  -1.87623E+01   1.02157E+00   6.66300E-01
  7.90000E-02   6.84197E+02   1.14061E+03   1.90869E+02   1.49594E+02   1.05615E+02  -2.41605E+01   1.02223E+00   6.65030E-01
  8.00000E-02   6.67893E+02   1.04534E+03   1.91724E+02   1.50283E+02   1.05559E+02  -2.97020E+01   1.02290E+00   6.62986E-01
  8.10000E-02   6.46017E+02   9.41624E+02   1.92568E+02   1.50973E+02   1.05509E+02  -3.53720E+01   1.02356E+00   6.60198E-01
  8.20000E-02   6.17708E+02   8.33039E+02   1.93399E+02   1.51663E+02   1.05463E+02  -4.11504E+01   1.02422E+00   6.56699E-01
  8.30000E-02   6.13111E+02   7.30786E+02   1.94215E+02   1.52350E+02   1.05423E+02  -4.70120E+01   1.02488E+00   6.52527E-01
  8.40000E-02   4.83887E+02   6.28564E+02   1.95015E+02   1.53031E+02   1.05388E+02  -5.29277E+01   1.02553E+00   6.47722E-01
  8.50000E-02   4.10164E+02   5.44572E+02   1.95799E+02   1.53704E+02   1.05357E+02  -5.88654E+01   1.02617E+00   6.42329E-01
