485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.105,87.39124,86.36772,103.1622,206.9738,81.41299,161.7339,105.2172,132.9516
0.106,87.36495,86.38532,103.1024,207.296,82.31453,161.7185,105.2122,133.8452
0.107,87.339,86.39674,103.0497,207.5937,83.22526,161.6625,105.2052,134.6652
0.108,87.31356,86.40218,103.0046,207.8672,84.14551,161.5658,105.196,135.4124
0.109,87.28875,86.40185,102.9675,208.1167,85.07557,161.4282,105.1847,136.0883
0.11,87.26469,86.39597,102.9391,208.3426,86.01572,161.2496,105.1713,136.6946
0.111,87.24146,86.38478,102.9197,208.5452,86.96623,161.0301,105.1559,137.2339
0.112,87.21913,86.36849,102.9099,208.7248,87.92734,160.77,105.1386,137.709
0.113,87.19774,86.34737,102.9101,208.8818,88.89926,160.4697,105.1195,138.1228
0.114,87.17732,86.32164,102.9209,209.0167,89.88216,160.1296,105.0986,138.4788
0.115,87.15786,86.29156,102.9426,209.1298,90.8762,159.7504,105.0762,138.7802
0.116,87.13936,86.25737,102.9755,209.2217,91.88148,159.3328,105.0524,139.0308
0.117,87.12178,86.21931,103.0202,209.2929,92.89806,158.8776,105.0272,139.2342
0.118,87.10508,86.17764,103.0768,209.3438,93.92597,158.3859,105.0009,139.3938
0.119,87.08919,86.1326,103.1457,209.375,94.96518,157.8586,104.9735,139.5135
0.12,87.07405,86.08445,103.2271,209.3871,96.01562,157.2969,104.9451,139.5969
0.121,87.05956,86.03342,103.3211,209.3808,97.07717,156.702,104.916,139.6476
0.122,87.04565,85.97977,103.428,209.3565,98.14966,156.0751,104.8861,139.6691
0.123,87.03221,85.92375,103.5479,209.3151,99.23286,155.4175,104.8555,139.6651
0.124,87.01914,85.8656,103.6808,209.2571,100.3265,154.7307,104.8244,139.639
0.125,87.00634,85.80556,103.8269,209.1833,101.4302,154.016,104.7926,139.5943
0.126,86.99369,85.74389,103.986,209.0944,102.5436,153.2749,104.7603,139.5343
0.127,86.98108,85.68081,104.1582,208.991,103.6662,152.5088,104.7275,139.4621
0.128,86.96841,85.61656,104.3434,208.8739,104.7976,151.7191,104.694,139.3807
0.129,86.95557,85.55138,104.5414,208.7439,105.9372,150.9074,104.6599,139.2929
0.13,86.94245,85.4855,104.7522,208.6016,107.0843,150.075,104.6251,139.2012
0.131,86.92895,85.41914,104.9755,208.4478,108.2383,149.2234,104.5896,139.108
0.132,86.91499,85.35253,105.2112,208.2833,109.3984,148.3539,104.5531,139.0152
0.133,86.90048,85.28589,105.4589,208.1087,110.564,147.468,104.5156,138.9248
0.134,86.88534,85.21941,105.7185,207.9248,111.7342,146.5669,104.4771,138.8381
0.135,86.8695,85.15332,105.9896,207.7324,112.9082,145.6519,104.4373,138.7565
